id,intent,text
0,GetWeather,What will the weather be this year in Horseshoe Lake State Fish and Wildlife Area?
1,GetWeather,Will it be sunny one hundred thirty five days from now in Monterey Bay National Marine Sanctuary
2,GetWeather,Is it supposed to rain nearby my current location at 0 o'clock?
3,GetWeather,"what is the forecast starting on september 1, 2039 for chillier conditions in AK"
4,GetWeather,how cold is it in Princeton Junction
5,GetWeather,"weather in Nationalpark Nevado Tres Cruces on mar. 4th, 2020"
6,GetWeather,"What will be wind speed in Tiplersville, South Sudan?"
7,GetWeather,whats the weather in GA
8,GetWeather,what is the weather at my current location
9,GetWeather,Will it snow in Haigler Bosnia and Herzegovina
10,GetWeather,What is the weather in \xc5land 4 seconds from now
11,GetWeather,Will it snowstorm neighboring the Rio Grande Wild and Scenic River on feb. the second?
12,GetWeather,what is the Sri Lanka forecast for snow
13,GetWeather,How is the weather going to be in Pearblossom.
14,GetWeather,Can you tell me if it'll be freezing in Wrightstown in seven years ?
15,GetWeather,Is the weather going to be colder in GU in 11 years
16,GetWeather,Will there be a snowstorm at my current place?
17,GetWeather,Is it going to be warmer in Central Cebu Protected Landscape
18,GetWeather,What will the weather be in Federated States Of Micronesia at 00:17 am
19,GetWeather,Will it be chillier at 06:05:48 in Wagener R\xe9union
20,GetWeather,will it be colder in Cut MA tomorrow
21,GetWeather,"Is it going to be sunny on Oct. twenty-seventh, 2031 within the same area of this current place"
22,GetWeather,Will it be chilly in Fiji at ten pm
23,GetWeather,"Will there be a blizzard here on dec. 26, 2027?"
24,GetWeather,"On may the thirteenth, 2037 what will it be like in Wilderville, Montenegro"
25,GetWeather,Will it get warmer in the same area as Sandy Point National Wildlife Refuge
26,GetWeather,"What will the weather forecast be in Mount Victory, Delaware in 1 second?"
27,GetWeather,Tell me if it'll be overcast nearby Papua New Guinea
28,GetWeather,Is there rain in Nauru at 6 am
29,GetWeather,What is the weather like in Hebbronville Venezuela
30,GetWeather,What's the weather next week in Somis
31,GetWeather,Tell me if it'll be humid in GA one minute from now
32,GetWeather,Is it foggy in Shelter Island
33,GetWeather,I need to know the weather for San Martin
34,GetWeather,"Check the forecast for Fernwood, MT."
35,GetWeather,What is the predicted weather for Wells in Indiana?
36,GetWeather,What's the weather looking like right now in Croatia?
37,GetWeather,what is the weather forecast for Kinbrae
38,GetWeather,"Will it be snowy in Crouch, French Polynesia?"
39,GetWeather,Is it warm at seven AM in Greenland
40,GetWeather,"Tell me the forecast for Elderton, Indiana in 19 hours"
41,GetWeather,what is the weather of Sri Lanka
42,GetWeather,What's the weather forecast in the same area as LA in 1 minute?
43,GetWeather,what is the chilly forecast for Mustoe North Carolina
44,GetWeather,How is the weather in Birta?
45,GetWeather,What will the weather be next apr. in MT?
46,GetWeather,What is the temperate in Beltsville
47,GetWeather,What will the weather be like here next week?
48,GetWeather,What will the weather be in Nationalpark Rila on Nov. 25?
49,GetWeather,Will there be a blizzard in neighboring Niobrara Valley Preserve
50,GetWeather,Is it freezing far from here on 12/5/2032
51,GetWeather,what do the cloud indicate in East Aurora
52,GetWeather,What will the weather be this month in Wesley Hills?
53,GetWeather,What's the weather in Timbo?
54,GetWeather,show weather forcast here at 19
55,GetWeather,Weather for my nearby current location
56,GetWeather,Is there a blizzard coming tomorrow in Methuen Uganda
57,GetWeather,forecast for Laguna Heights Barbados
58,GetWeather,what is the forecast starting on 5/17/2037 for Austria for warmer temps
59,GetWeather,What will it be like feb. the twentieth in Colorado
60,GetWeather,Is the forecast colder in Idaho 1 second from now
61,GetWeather,"What's the weather in GU on Jul. the 4th, 2024"
62,GetWeather,What is the temperate in Uintah right now
63,GetWeather,Tell me the weather forecast 1 hour from now in Big Thicket National Preserve
64,GetWeather,"I need a forecast for Jetmore, Massachusetts in 1 hour and 1 second from now"
65,GetWeather,Will it be chillier in Portugal in one hour?
66,GetWeather,"What are the weather conditions going to be like in Manhasset, Vermont on Dec. the 6th, 2036?"
67,GetWeather,What is the weather in CT
68,GetWeather,Check the weather forecast for Sappho
69,GetWeather,What will the weather be like on September the eighteenth in Puerto Rico
70,GetWeather,Will it be overcast in my current location at twelve PM.
71,GetWeather,show weather forecast in West Wildwood South Carolina
72,GetWeather,What is the forecast in Heber
73,GetWeather,What's the weather this month in Mozambique
74,GetWeather,What's the weather close to Cambodia at 05:44:13
75,GetWeather,Weather for East Peru Bolivia 3 years and a half from now
76,GetWeather,what is the weather like now in AK
77,GetWeather,what is the forecast starting at 8 pm for Alaska
78,GetWeather,What will the weather be in Peru?
79,GetWeather,What will the weather be in the current place 1 minute from now?
80,GetWeather,Is it warmer in Lothian Island Wildlife Sanctuary
81,GetWeather,will there be fog Tonight at Beamer Memorial Conservation Area
82,GetWeather,Tell me if it will be windy here
83,GetWeather,what is the forecast for 15:04 in Georgia for overcast conditions in Valley View
84,GetWeather,"Will there be cloud action in Saint Bernard, Virgin Islands"
85,GetWeather,"What will the weather be like on feb. 8, 2034 in Cedar Mountain Wilderness"
86,GetWeather,Tell me the forecast in the same area here on Robert E Lee's Birthday
87,GetWeather,Is there rain now in Maine
88,GetWeather,Will it get chillier in North Creek Forest?
89,GetWeather,"What's the weather forecast for Elida, Rhode Island?"
90,GetWeather,Will it be colder in Ohio
91,GetWeather,Is it forecast to be windy here in seven seconds?
92,GetWeather,"Will it be cold close-by Iowa on september twenty-first, 2025"
93,GetWeather,What will the weather be a nine in Willow River State Park?
94,GetWeather,What will the weather be here?
95,GetWeather,in 257 days what will the weather be like in Cannon Ball
96,GetWeather,"What will the weather be like 56 weeks from now, will there be sun in Tabor?"
97,GetWeather,What's the weather like in North Brunswick Township Virginia
98,GetWeather,Is the forecast windy in Nigeria on Nov. the 6th
99,GetWeather,"What's the wather in Coleville, Kenya"
100,GetWeather,Will it be freezing in the city of Sardis
