id,intent,text
0,linq,How do I fill a DataSet or a DataTable from a LINQ query resultset ?
1,linq,How do you page a collection with LINQ?
2,svn,Best Subversion clients for Windows Vista (64bit)
3,svn,"Best Practice: Collaborative Environment, Bin Directory, SVN"
4,visual-studio,Visual Studio Setup Project - Per User Registry Settings
5,linq,How do I most elegantly express left join with aggregate SQL as LINQ query
6,visual-studio,.Net XML comment into API Documentation
7,ajax,Modify Address Bar URL in AJAX App to Match Current State
8,visual-studio,Integrating Visual Studio Test Project with Cruise Control
9,bash,What should a longtime Windows user know when starting to use Linux?
10,visual-studio,Folders or Projects in a Visual Studio Solution?
11,svn,How do I create a branch in SVN?
12,visual-studio,Add Custom Tag to Visual Studio Validation
13,osx,How do I turn on line numbers by default in TextWrangler on the Mac?
14,osx,How to tab focus onto a dropdown field in Mac OSX
15,osx,How to tab between buttons on an OSX dialog box
16,ajax,Progressive Enhancement
17,excel,What is a good web-based Grid that accepts Excel clipboard data?
18,visual-studio,What is keyboard shortcut to view all open documents in Visual Studio 2008
19,visual-studio,How to generate getters and setters in Visual Studio?
20,visual-studio,"Plugin for Visual Studio to Mimic Eclipse's ""Open Type"" or ""Open Resource"" Keyboard Access"
21,ajax,Can ASP.NET AJAX partial rendering work inside a SharePoint 2007 application page?
22,visual-studio,What is the best way to deploy a VB.NET application?
23,svn,what is your favorite web app deployment workflow with SVN?
24,visual-studio,Setup Visual Studio 2005 to print line numbers
25,visual-studio,Automated release script and Visual Studio Setup projects
26,osx,How do I configure a Vista Ultimate (64bit) account so it can access a SMB share on OSX?
27,svn,SVN merge merged extra stuff
28,svn,Best SVN Client Ignore Pattern for VB.NET Solutions?
29,svn,Experience with SVN vs. Team Foundation Server?
30,svn,Version control PHP Web Project
31,svn,Database Version Control
32,svn,How to add CVS directories recursively
33,osx,How can I fix the background of wikipedia pages as displayed in Google Chrome?
34,ajax,How to specify javascript to run when ModalPopupExtender is shown
35,ajax,IE6 + SSL + AJAX + post form  = 404 error (?)
36,svn,Always Commit the same file with SVN
37,svn,How do you deal with configuration files in source control?
38,svn,Common Types of Subversion Hooks
39,visual-studio,VS 2008 - Objects disappearing?
40,visual-studio,Visual Studio and dual/multiple monitors: how do I get optimized use out of my monitors?
41,svn,Very slow merge with Subversion 1.5
42,sharepoint,How can I improve the edit-compile-test loop when developing a SharePoint workflow?
43,apache,User authentication on Resin webserver
44,svn,How do I make Subversion (SVN) send email on checkins?
45,linq,Beginners Guide to LINQ
46,oracle,How do I find the high water mark (for sessions) on Oracle 9i
47,apache,URL Redirection for SSL virtual hosts
48,apache,How do you redirect https to http
49,svn,Shelve in TortoiseSVN?
50,visual-studio,Visual Studio refactoring: Remove method
51,osx,Not showing Dialog when opening file in Acrobat Pro using Applescript
52,apache,mod_rewrite to alias one file suffix type to another
53,ajax,Ajax project suggestion.
54,sharepoint,SharePoint - Connection String dialog box during FeatureActivated event
55,osx,SharePoint WSS 3.0 Integration with Mac OSX (either Safari or Firefox)
56,osx,Accessing iSight programatically?
57,visual-studio,Windows Mobile Device Emulator - how to save config permanently?
58,scala,Scala abstract type bounds cross referencing
59,visual-studio,Using Parameters in MS Reporting Services (SQL 2008) against an ODBC data source
60,sharepoint,How do you deploy your SharePoint solutions?
61,visual-studio,Visual Studio 2008 Window layout annoyance
62,visual-studio,Where is TFS work item help text displayed?
63,svn,Graphical representation of SVN branch/merge activity
64,sharepoint,Can I copy files to a Network Place from a script or the command line?
65,oracle,Oracle - What TNS Names file am I using?
66,linq,Expression.Invoke in Entity Framework?
67,excel,Refresh Excel VBA Function Results
68,linq,Conditional Linq Queries
69,sharepoint,Sharepoint Wikis
70,sharepoint,Creating a development environment for SharePoint.
71,visual-studio,In Visual Studio you must be a member of Debug Users or Administrators to start debugging. What if you are but it doesn't work?
72,ajax,MaskedEditExtender
73,visual-studio,"Creating Visual Studio templates under the ""Windows"" catagory."
74,osx,_wfopen equivalent under Mac OS X
75,svn,Attaching VisualSVN Server to an existing repository
76,oracle,Oracle SQL Developer not responsive when trying to view tables (or suggest an Oracle Mac client)
77,svn,Is there a tool that can display a SVN repository visually ( i.e. pretty charts )?
78,svn,Is it safe to install SVN on a production win2008 web server?
79,svn,SVN Manager App for Mac (better than XCode)
80,osx,In Cocoa do I need to remove an Object from receiving KVO notifications when deallocating it?
81,svn,Managed Source Control Hosting and Continuous Integration with CVSDude and CruiseControl.net
82,visual-studio,Class Designer in Visual Studio - is it worth it?
83,matlab,Starting MATLAB from the command line
84,linq,LINQ vs stored procedures?
85,svn,Do you use version control other than for source code?
86,visual-studio,Is it possible to disable command input in the toolbar search box?
87,cocoa,Drawing a view hierachy into a specific content in Cocoa
88,visual-studio,"Visual Studio Error: The ""GenerateResource"" task failed unexpectedly."
89,sharepoint,How to get out parameters working in SharePoint workflows
90,visual-studio,Do you have any recommended macros for Microsoft Visual Studio?
91,visual-studio,Tool in Visual Studio 2008 for helping with Localization
92,svn,Best way to deploy subversion in a multisite windows environment
93,svn,Subversion Management Tools
94,visual-studio,Is it possible to coax Visual Studio 2008 into using italics for comments?
95,svn,Use SVN instead of CVS on SourceForge
96,visual-studio,SSRS - Uninstall Trial Version of VS Business Intelligence
97,svn,Migrating to GIT
98,visual-studio,Can I configure VisualStudio 2008 to always build the startup project?
99,visual-studio,What Visual Studio add-ins do you use?
100,visual-studio,Visual Studio color theme
101,visual-studio,Visual Studio open files question
102,apache,Webserver Log Analysis
103,sharepoint,What's the best way to report errors from a SharePoint workflow?
104,visual-studio,How do you configure VS2008 to only open one webserver in a solution with multiple projects?
105,visual-studio,Error viewing csproj property pages in VisualStudio2005
106,visual-studio,.net solution subversion best practices?
107,visual-studio,AnkhSVN Cannot Connect Due to Proxy
108,apache,How do I create a self signed SSL certificate to use while testing a web app.
109,bash,Are there any tools to convert Markdown documents to HTML en masse?
110,qt,How to install a plugin for QtWebKit
111,ajax,Are there reasons not to use JSONP for AJA~X requests?
112,oracle,What Content Management does your workplace use?
113,apache,mod_rewrite rule to redirect all requests except for one specific path
114,oracle,Best way to encapsulate complex Oracle PL/SQL cursor logic as a view?
115,visual-studio,Why doesn't 'shell' work in VBscript in VS6?
116,visual-studio,What's the best way to manage a classic asp front-end using Visual Studio 2008?
117,sharepoint,Deploying InfoPath forms to different SharePoint servers
118,svn,Script to backup svn repository to network share
119,visual-studio,Give me awesome Visual Studio keyboard short cuts!
120,osx,How to Stop NTFS volume auto-mounting on OS X
121,visual-studio,Changing ctrl+tab behavior for moving between document in Visual Studio
122,linq,How do I use Linq for paging a generic collection?
123,linq,Mocking and IQueriable<T>
124,visual-studio,Source Control in Visual Studio Isolated Shell
125,excel,Accessing Excel data source running SSIS package on 64 bit server
126,linq,IntelliSenss for XElements object with XML schema
127,sharepoint,Transactional Design Pattern
128,sharepoint,Sharepoint COMException 0x81020037
129,magento,"Getting error in manage categories - not found for attribute ""navigation_column"""
130,osx,Virtual Mac?
131,excel,How do I find the Excel column name that corresponds to a given integer?
132,oracle,Resources for an Oracle beginner
133,visual-studio,Best way to license Microsoft software as a very small developer
134,svn,Tips for running Subversion in a Windows world
135,osx,Height of NSTextView with one line?
136,apache,Installing Apache Web Server on 64 Bit Mac
137,oracle,Develop on local Oracle instance
138,sharepoint,Upgrading Sharepoint 3.0 to SQL 2005 Backend?
139,bash,Bash One Liner: copy template_*.txt to foo_*.txt?
140,sharepoint,Modifying SharePoint System Files
141,visual-studio,How do I REALLY reset the Visual Studio window layout?
142,qt,Getting QMake to generate a proper .app
143,linq,NHibernate vs LINQ
144,excel,Alternating coloring groups of rows in Excel
145,ajax,ASP.NET JavaScript Callbacks Without Full PostBacks?
146,svn,"How to ""unversion"" a file in either svn and/or git"
147,osx,Flex tools for Mac
148,ajax,Are Http-Only cookies a viable option for an AJAX website?
149,visual-studio,How to get rid of VSMacros80 folder from project root?
150,bash,Bash reg-exp substitution
151,osx,Any pitfalls developing C#/.NET code in a Virtual Machine running on a MAC?
152,visual-studio,Why do my exception stack traces always point to the last method line?
153,sharepoint,SharePoint SPContext.List in a custom application page
154,bash,Getting ssh to execute a command in the background on target machine
155,svn,What is the more efficient version control methodology - checkout or merge (ie Perforce vs Subversion)
156,excel,What is the best way to package and distribute an Excel application.
157,ajax,Problems while submitting a UTF-8 form textarea with JQuery/AJAX
158,sharepoint,Dynamically display Edit Control Block menu item in SharePoint
159,visual-studio,programmatically retrieve Visual Studio install directory
160,visual-studio,Display solution/file path in Visual Studio IDE
161,apache,Apache Webservers
162,linq,Is there a Way to use Linq to Oralce
163,linq,Is there a pattern using Linq to dynamically create a filter?
164,visual-studio,Forcing the Solution Explorer to select the file in the editor in visual studio 2005
165,visual-studio,How do I check the active solution configuration Visual Studio built with at runtime?
166,sharepoint,Upload a file to SharePoint through the built-in web services
167,wordpress,How do I list all Entries with a certain tag in Wordpress?
168,linq,Linq select * with multiple tables
169,visual-studio,Visual Studio identical token highlighting
170,svn,Any disadvantages of accessing Subversion repositories through file:/// for a solo developer?
171,visual-studio,"Is there a way to do ""intraWord"" text navigation in VS?"
172,visual-studio,generation of designer file failed
173,visual-studio,"How to remove ""VsDebuggerCausalityData"" data from SOAP message?"
174,visual-studio,Building a VS2010 project consumes extra resources
175,cocoa,NSEnumerator performance vs for loop in Cocoa
176,svn,what is the best way to backup subversion repositories?
177,osx,Best way to export a QTMovie with a fade-in and fade-out in the audio
178,oracle,When to commit changes?
179,visual-studio,Integrating a custom gui framework with the VS designer
180,sharepoint,Getting files and their version numbers from sharepoint
181,visual-studio,"Visual Studio Hosting Process and ""The operation could not be completed"""
182,sharepoint,Looking up document library items in a SharePoint workflow
183,svn,Subversion: Fail update when there are conflicts?
184,cocoa,Change templates in XCode
185,scala,Is Scala the next big thing?
186,wordpress,Wordpress Wiki Integration
187,svn,How do I delete 1 file from a revision in SVN?
188,svn,How can I find the revision history of the file that was deleted and then resubmitted to SVN?
189,visual-studio,What Code Snippet Editor Do You Use?
190,visual-studio,Visual Studio: Build Solution vs Batch Build
191,ajax,Is it possible to persist (without reloading) AJAX page state across BACK button clicks?
192,excel,Excel: list ranges targeted by INDIRECT formulas
193,visual-studio,How do I get the assembler output from a C file in VS2005
194,svn,"Subversion ignoring ""--password"" and ""--username"" options"
195,sharepoint,SharePoint List Scalability
196,visual-studio,Best Way to ReUse Code When Using Visual Studio?
197,sharepoint,Optimizing Sharepoint Search Crawling
198,ajax,Retrieving HTTP status code from loaded iframe with Javascript
199,visual-studio,"nmake, visualstudio, and .mak files"
200,visual-studio,How can I point Visual Studio 2008 to a new path for projects?
201,osx,How do I make bash reverse-search work in Terminal.app without it displaying garbled output?
202,svn,Do you continue development in a branch or in the trunk?
203,svn,Begining SVN
204,bash,How do I autorun an application in a terminal in Ubuntu?
205,svn,Rollbacking bad changes with svn in Eclipse
206,osx,What are the alternatives to using phpMyAdmin?
207,oracle,Table Stats gathering for Oracle
208,oracle,Intergrating Perl and Oracle AQ
209,oracle,Oracle Server performance monitoring tools
210,svn,Is there any way to sticky a file in subversion
211,visual-studio,designing Panels without a parent Form in VS?
212,osx,What's a good way to write a Cocoa front-end to an Erlang application?
213,visual-studio,Is it possible to convert projects wizard created for MSVS 2005 to MSVS 2008 format autom
214,osx,Simple audio input API on a Mac?
215,linq,Filter linq list on property value
216,oracle,Issue in Oracle Sql Query
217,oracle,Best way to handle LOBs in Oracle dblink'ed tables
218,visual-studio,What is a good maintainability index using Visual Studio 2008 code analysis?
219,bash,Parallelize Bash Script
220,cocoa,Error Code Reference for OSX/Cocoa
221,matlab,Combining Structures
222,svn,Can you modify text files when committing to subversion?
223,visual-studio,Visual Studio equivalent to Delphi bookmarks
224,osx,Is it possible to run OSX in a virtual machine?
225,sharepoint,How to add a web part zone in SharePoint using SharePoint Designer
226,visual-studio,Visual Studio 2005/2008: How to keep first curly brace on same line?
227,visual-studio,Good Way to Debug Visual Studio Designer Errors
228,visual-studio,Visual Studio 2005/2008: How can you share/force all developers to use the same formatting rulles?
229,bash,How to run gpg from a script run by cron?
230,sharepoint,How to use the SharePoint MultipleLookupField control?
231,svn,How are tags made in Subversion?
232,apache,Getting Apache to modify modify static webpages on the fly
233,bash,How to make a pipe loop in bash
234,ajax,"Autocomplete Dropdown with Linkbuttons - or ""AJAX gone wild"""
235,linq,How to get an array of distinct property values from in memory lists?
236,excel,Insert current date in Excel template at creation
237,osx,Should you register new extensions with Apple?
238,visual-studio,Custom Build Numbering in Visual Studio
