id,text,intent
0,i want to go marienplatz,FindConnection
1,when is the next train in muncher freiheit?,DepartureTime
2,when does the next u-bahn leaves from garching forschungszentrum?,DepartureTime
3,from olympia einkaufszentrum to hauptbahnhof,FindConnection
4,when is the next train from winterstraße 12 to kieferngarten,FindConnection
5,when is the next rocket from winterstraße 12 to kieferngarte,FindConnection
6,can you find a connection from garching to hauptbahnhof?,FindConnection
7,how to get from untere strassäcker 21 to fröttmaning,FindConnection
8,how i can get from marienplatz to garching,FindConnection
9,connection from boltzmannstraße to kieferngarten,FindConnection
10,how to get from bonner platz to freimann?,FindConnection
11,when is the next s-bahn leaving at garching?,DepartureTime
12,how do i get from oez to hbf?,FindConnection
13,how to get from winterstrasse 12 to fröttmaning,FindConnection
14,how do i get from garching forschungszentrum to pasing,FindConnection
15,theresienstraße to assling,FindConnection
16,how can i get from theresienstraße to munich east?,FindConnection
17,when does the next bus starts from garching?,DepartureTime
18,from quiddestraße to garching?,FindConnection
19,can you find a connection from kurt-eisner-straße to garching forschungszentrum?,FindConnection
20,can you find a connection from quiddestraße to garching forschungszentrum?,FindConnection
21,when does the next train leaves at garching?,DepartureTime
22,from hauptbahnhof to garching?,FindConnection
23,how can i get to glockenbachviertel from garching forschungszentrum?,FindConnection
24,how i can get from garching to nordfriedhof,FindConnection
25,how can i get to glockenbachviertel from garching forschungszentrum?,FindConnection
26,when is the next train leaving in garching forschungszentrum,DepartureTime
27,how can i get from moosach to quiddestraße?,FindConnection
28,how can i get from moosach to poccistraße?,FindConnection
29,how can i get from kurt-eisner-straße to garching forschungszentrum?,FindConnection
30,how can i get from moosach to quiddestraße?,FindConnection
31,how can i get from moosach to odeonsplatz?,FindConnection
32,when does the next bus starts at garching?,DepartureTime
33,what's the shortest way from quiddestraße to odeonsplatz?,FindConnection
34,when is the next bus from ostbahnhof,DepartureTime
35,how i can get from garching to neuperlach sued,FindConnection
36,when is the next train in munchner freiheit?,DepartureTime
37,how i can get from marienplatz to garching?,FindConnection
38,how do i get from poccistraße to laim,FindConnection
39,i want to go garching from marienplatz,FindConnection
40,how i can get from marienplatz to garching?,FindConnection
41,how can i get from hauptbahnhof to odeonsplatz,FindConnection
42,prinzregentenplatz to rotkreuzplatz,FindConnection
43,i want to go to garching from marienplatz,FindConnection
44,next train from garching,DepartureTime
45,from prinzregentenplatz to rotkreuzplatz,FindConnection
46,when is the next subway from garching forschungszentrum,DepartureTime
47,from garching to klinikum,FindConnection
48,from garching foschungszentrum to odeonsplatz,FindConnection
49,next bus in garching,DepartureTime
50,when does the train leaving in garching forschungszentrum,DepartureTime
51,next subway from garching forschungszentrum,DepartureTime
52,tell me the next bus from garching,DepartureTime
53,"next bus from garching, please.",DepartureTime
54,next bus from garching,DepartureTime
55,next bus from central station,DepartureTime
56,from garching to marienplatz,FindConnection
57,next bus from garching.,DepartureTime
58,connection from garching to hauptbahnhof?,FindConnection
59,when does the next bus departs from garching?,DepartureTime
60,find connection from hauptbahnhof to odeonsplatz,FindConnection
61,when does the next u-bahn departs at garching forschungszentrum?,DepartureTime
62,when does the next u-bahn departs at garching?,DepartureTime
63,when does the next subway departs at garching,DepartureTime
64,when is the next train in garching?,DepartureTime
65,how to get from münchner freiheit to garching ?,FindConnection
66,implerstraße to ostbahnhof,FindConnection
67,how can i get from hauptbahnhof to odeonsplatz?,FindConnection
68,how can i go from garching forschungszentrum to prinzregentenplatz,FindConnection
69,how can i get from mangfallplatz to garching,FindConnection
70,how can i get to hohenlindenerstraße,FindConnection
71,harthaus to hackerbrücke,FindConnection
72,how can i get from feldmoching to garching forschungszentrum?,FindConnection
73,from marienplatz to petershausen,FindConnection
74,when is the train from garching to marienplatz,FindConnection
75,neufahrn to garching,FindConnection
76,how can i get from mangfallplatz to garching,FindConnection
77,how can i get to hohenlindenerstr,FindConnection
78,when is the next bus from garching forschungzentrum,DepartureTime
79,how do i get from spitzingplatz to poccistraße?,FindConnection
80,how can i get from garching forschungszentrum to marienplatz,FindConnection
81,how can i get from klinkum to marienplatz?,FindConnection
82,how to get from alte heide to marienplatz,FindConnection
83,next train from muenchen freicheit,DepartureTime
