id,intent,text
0,card_arrival,I am still waiting on my card?
1,card_arrival,What can I do if my card still hasn't arrived after 2 weeks?
2,card_arrival,I have been waiting over a week. Is the card still coming?
3,card_arrival,Can I track my card while it is in the process of delivery?
4,card_arrival,"How do I know if I will get my card, or if it is lost?"
5,card_arrival,When did you send me my new card?
6,card_arrival,Do you have info about the card on delivery?
7,card_arrival,What do I do if I still have not received my new card?
8,card_arrival,Does the package with my card have tracking?
9,card_arrival,I ordered my card but it still isn't here
10,card_arrival,Why has my new card still not come?
11,card_arrival,"I still haven't received my card after two weeks, is it lost?"
12,card_arrival,Can you track my card for me?
13,card_arrival,Is there a way to track the delivery of my card?
14,card_arrival,It's been a week since I ordered my card and it's not here. Please help?
15,card_arrival,Will I be able to track the card that was sent to me?
16,card_arrival,I don't have my card in 1 week.  Should I be worried?
17,card_arrival,How do I know when my new card is going to arrive?
18,card_arrival,My new card has not been delivered to my home yet. What is going on?
19,card_arrival,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?
20,card_arrival,"On the card that is coming, what's the tracking info?"
21,card_arrival,What is the status of my card's delivery?
22,card_arrival,Have you sent out my card yet?
23,card_arrival,My card isn't here yet.
24,card_arrival,where is my new card?
25,card_arrival,It's been a week since you sent my card and I still don't have it.
26,card_arrival,How do I track the card you sent me?
27,card_arrival,When will I recieve my new card?
28,card_arrival,When will I get my new card?
29,card_arrival,What is the expected delivery date for my card?
30,card_arrival,Is there a tracking number for the card you sent me?
31,card_arrival,I would like to track the card you sent to me.
32,card_arrival,Has my card been lost in delivery?
33,card_arrival,My new card hasn't came in.
34,card_arrival,Where is the card I ordered 2 weeks ago?
35,card_arrival,Can I get an update on my replacement card?
36,card_arrival,How long does it take for a new card to ship?
37,card_arrival,What's the tracking on the card you sent?
38,card_arrival,I haven't received my card and am worried it is lost.
39,card_arrival,My card still hasn't been delivered
40,card_arrival,I need to find out where the card is that I ordered.
41,card_arrival,Where is my credit card that was to be mailed?
42,card_arrival,I ordered my card but it hasn't been delivered yet
43,card_arrival,Am I able to track the card that was just sent to me?
44,card_arrival,Can you tell me why I haven't received my new card?
45,card_arrival,I'm still waiting for my new card.
46,card_arrival,Is my card lost? I am still waiting for it to be delivered.
47,card_arrival,Should I keep waiting for my card to be delivered?
48,card_arrival,Can I track when my card will be delivered?
49,card_arrival,How can I check on the status of my new card?
50,card_arrival,"A card has been sent to me, how do I track it?"
51,card_arrival,Is there a way I can get my card expedited?
52,card_arrival,What can I do to track the card you sent me?
53,card_arrival,why hasnt my card come in yet?
54,card_arrival,How can I periodically check the delivery of the card you sent?
55,card_arrival,What's the reason my new card hasn't come?
56,card_arrival,How long does it take for me to get my new card?
57,card_arrival,I don't have my card after 1 week. What are my next steps?
58,card_arrival,I know I'm getting a new card but would like know when I can expect to receive it.
59,card_arrival,I want to find out what happened to my new card?
60,card_arrival,Was there a way for me to get tracking for that?
61,card_arrival,I am still waiting for my card.
62,card_arrival,My card hasn't arrived.
63,card_arrival,Can I track the card you sent to me?
64,card_arrival,I haven't gotten my new card.
65,card_arrival,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?
66,card_arrival,Will I have to wait much longer for my new card to arrive?
67,card_arrival,how to track the card you sent
68,card_arrival,2 weeks ago I ordered my new card.  It isn't here.  What should I do?
69,card_arrival,How can I check on the delivery status of my card?
70,card_arrival,"My card has not been delivered yet and its been a week since I ordered it, please help"
71,card_arrival,What's the expected wait time to recieve my new card?
72,card_arrival,How can I see the progress of delivery of the card that was sent?
73,card_arrival,"My card was supposed to arrive, but hasn't?"
74,card_arrival,I ordered a card and would like to know how to track the delivery progress of it.
75,card_arrival,How long will it take for me to get my card?
76,card_arrival,My card hasn't shown up yet.
77,card_arrival,Does the card you sent have a tracking number?
78,card_arrival,My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?
79,card_arrival,maximum how many days get the courier?
80,card_arrival,Is there a reason my new card hasn't arrived yet?
81,card_arrival,"I've been waiting a while for my card, is there a way to know when it will arrive?"
82,card_arrival,How can I track my card's delivery?
83,card_arrival,Can I track the card that was just sent to me?
84,card_arrival,"If I ordered my new card last week, how much longer should I wait to receive it?"
85,card_arrival,"What's go on, where is my new card?"
86,card_arrival,Where is my new card if I haven't received it yet?
87,card_arrival,Where is my card?
88,card_arrival,Can you tell me why I haven't received my new card yet?
89,card_arrival,Is there a way to track my card?
90,card_arrival,Is there a way to track the new card you sent me?
91,card_arrival,I'm still waiting for my card.
92,card_arrival,What do I need to do to get my new card which I have requested 2 weeks ago?
93,card_arrival,WHAT IS THE SOLUTION OF THIS PROBLEM
94,card_arrival,Could I get tracking on the card?
95,card_arrival,Can you help me track my card?
96,card_arrival,Shouldn't my new card be here by now?
97,card_arrival,Is there a reason my new card hasn't arrived?
98,card_arrival,"I would like to track a card sent to me, how do I do that?"
99,card_arrival,Is there a tracking number for the card?
100,card_arrival,can you share card tracking number?
101,card_arrival,"I have not received my card and it's been a week, what do I do?"
102,card_arrival,Is there a way I can check on the card on route to me?
103,card_arrival,When will my new card arrive?
104,card_arrival,Why haven't I received my new card yet?
105,card_arrival,What is the expected delivery date of my card?
106,card_arrival,My card hasn't came in the mail yet?
107,card_arrival,I haven't received my card.
108,card_arrival,Is it possible for me to track the card is was mailed to me?
109,card_arrival,When will my new card be delivered?
110,card_arrival,I was issued a card about a week ago. why hasn't it come in yet?
111,card_arrival,Can you please tell me where my card is? I ordered it 2 weeks ago!
112,card_arrival,I still haven't received my card in the mail
113,card_arrival,I'm still waiting for my card that was issued a week ago. What should I do?
114,card_arrival,I still haven't gotten my new card.  When will it get here?
115,card_arrival,Do you have a tracking number for the card I was sent?
116,card_arrival,How do I track the card you sent to me?
117,card_arrival,Is my new bank card on the way and is there a way to track it?
118,card_arrival,Could you send me and up date on the arrival of my card?
119,card_arrival,How long does it take to recieve my new card?
120,card_arrival,My card has not come in the mail yet.
121,card_arrival,What's the card you sent me's tracking number?
122,card_arrival,i havent got my card
123,card_arrival,Why hasn't my card arrived yet?
124,card_arrival,I thought I would have received my new card at this point.
125,card_arrival,How long until my new card gets here?
126,card_arrival,How much longer until I get my new card?
127,card_arrival,Am I able to track a card that has already been sent?
128,card_arrival,Is it possible to track the card you sent me?
129,card_arrival,How long will it be to get this new card?
130,card_arrival,how can i track card you sent
131,card_arrival,Can the card was sen to me be tracked?
132,card_arrival,why have i not got my new card?
133,card_arrival,I need to track the card sent to me.
134,card_arrival,"It's been two weeks and I haven't gotten my card, what do I do?"
135,card_arrival,I was expecting my new card by now.
136,card_arrival,Where is the tracking number for the card?
137,card_arrival,I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?
138,card_arrival,Can I track the card that you sent me in the mail?
139,card_arrival,Can you tell me if I can track the card you sent me?
140,card_arrival,Why have I not gotten my new card?
141,card_arrival,I'm still waiting on my new card to be delivered!
142,card_arrival,My new card isn't here and it was issued a week ago.
143,card_arrival,"I was supposed to receive my new card by now, but it hasn't came in."
144,card_arrival,Is a tracking number available for the card that was just sent?
145,card_arrival,Why haven't I gotten my new card?
146,card_arrival,Was there a number to track that I could get?
147,card_arrival,How much longer is it going to take to get my new card?
148,card_arrival,I haven't gotten my credit card in the mail.
149,card_arrival,My card hasn't arrived yet. What do I do?
150,card_arrival,"My card still hasn't arrived after two weeks, now what?"
151,card_arrival,My card appears to have never arrived?
152,card_arrival,My card never arrived.
153,card_linking,My card has been found. Is there any way for me to put it back into the app?
154,card_linking,I was able to find my card. How to I go about putting it into my app?
155,card_linking,how do I get my card to show in the app?
156,card_linking,I just got my card.  It's not linked yet--how do I do that?
157,card_linking,"lost card found, want to put it back in app"
158,card_linking,"I just got a card, how can I add it to the app?"
159,card_linking,Is there any way to see my card in the app?
160,card_linking,If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?
161,card_linking,I found my card. How can I put it into my app?
162,card_linking,How do I make my card show up in the app?
163,card_linking,Can you show me where to link the new card?
164,card_linking,I found my old card. Can I link it back into the app?
165,card_linking,"Show me how to link the new card,"
166,card_linking,How do I add an existing card to the app?
167,card_linking,I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?
168,card_linking,How do I link one of your card that I already have?
169,card_linking,If I have a physical card can I link it?
170,card_linking,I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.
171,card_linking,Can I add a card that I just found (again) to the app?
172,card_linking,How can I make my card show up in the app?
173,card_linking,"I would like to re-activate my card, it was previously reported  lost but I found it this morning."
174,card_linking,"Okay, I found my card, can I put it back in the app?"
175,card_linking,Can I reactivate a card?
176,card_linking,I would like to reactivate a card and wondered if that could be done?
177,card_linking,"I got my card now, how do I make it show up in the app?"
178,card_linking,How do I link an existing card?
179,card_linking,How do I link a new card in the app?
180,card_linking,"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?"
181,card_linking,I already have a card and want to link it
182,card_linking,Can you please reactivate my card?
183,card_linking,Where do I go to add a new card?
184,card_linking,I want my card I just received to show up in the app. How do I do that?
185,card_linking,"I received my card, how do I get it to show in the app?"
186,card_linking,If I have a credit card with you how I get set up to link to it?
187,card_linking,How do I add my new card?
188,card_linking,"I want to reactivate my card, I thought I had lost it but found it again this morning."
189,card_linking,"I need a card reactivation, I had reported my card lost but I ran across it in my jacket."
190,card_linking,My card is no longer lost. How do I enter it back into the app?
191,card_linking,"I want to reactivate my card, I thought I had lost it but found it again in my jacket."
192,card_linking,"May I reactivate my card? I previously reported it lost, but have now found it safe and sound."
193,card_linking,How do I reactivate a card I thought I lost?
194,card_linking,Help me figure out how to link the new card.
195,card_linking,I found my lost card. Am I still able to use it?
196,card_linking,Will I need a new card or can I put my old card back into the app?
197,card_linking,Is there a way to link the card i just got?
198,card_linking,How do I add a new card?
199,card_linking,"I want to reactivate my card, I found it after thinking it was lost."
200,card_linking,Can I put my old card back in the app?
201,card_linking,"I got a new card, how do I link it?"
202,card_linking,I found the card I thought I lost this morning. Can I reactivate this card?
203,card_linking,How do i go about linking a new card?
204,card_linking,how do i get the card linked
205,card_linking,"I have one of your cards, but I don't know how to link it."
206,card_linking,how do I link an old card?
207,card_linking,I received my card. How do I link it to the app?
208,card_linking,"Now that I have my card, how do I connect it to the app?"
209,card_linking,How do I add the card I just received to show up in the app?
210,card_linking,"I want to reactivate my card, I thought I had lost it but I found it."
211,card_linking,What do I need to do to link my new card for my account?
212,card_linking,Can I add a card to back into the app?
213,card_linking,I want to link my new card. Can you help?
214,card_linking,What is the process to link the new card?
215,card_linking,"I found my card, am I able to put it back into the app?"
216,card_linking,"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?"
217,card_linking,Where can I link a new card?
218,card_linking,How do I add a card on to the app?
219,card_linking,"I found my card in my jacket this morning, so can I reactivate it?"
220,card_linking,"I've obtained the card, how do I enable it on the app?"
221,card_linking,I need to find the card I received in the app.
222,card_linking,How do I get my card on the app?
223,card_linking,"In the app, how can I make it show the new card that arrived?"
224,card_linking,How do I link my new card?
225,card_linking,Can I activate a card in the app?
226,card_linking,"I want to link to my card card with you, how?"
227,card_linking,I would like to link my card to my account.
228,card_linking,"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card."
229,card_linking,How can I link the new card?
230,card_linking,I got a new card and can't find where to link it.
231,card_linking,"Hey, I have my card, how do I get it to show in the app?"
232,card_linking,Where in the app do I go to make my new card show up?
233,card_linking,Where do I scan my card?
234,card_linking,Can I reactivate my card? I reported it lost and found it this morning in my jacket.
235,card_linking,Can I link my card I previously received?
236,card_linking,"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning."
237,card_linking,"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat."
238,card_linking,You sent me a card and now I want to link it.
239,card_linking,How do I add my new card to the app?
240,card_linking,Can I add a card back to the app?
241,card_linking,What if I want to add a card I already have to the app?
242,card_linking,"I recently reported my card as missing/lost, and I just found it. Can I still use it?"
243,card_linking,"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket."
244,card_linking,Is there a way to link cards if I have one of yours?
245,card_linking,If my card was lost or stolen can I re-link it?
246,card_linking,How do I link a new card to an existing one?
247,card_linking,How do I link a new payment card?
248,card_linking,I would like to reactivate my card that I previously reported lost. I located the card this morning.
249,card_linking,"Card has been received, how will it show up on the app?"
250,card_linking,Can I re-link a lost card with the app?
251,card_linking,What do I do to link my new card?
252,card_linking,Is it possible to link a new card?
253,card_linking,I deactivated my card but would like to reactivate it.
254,card_linking,"I found my card that I thought I had lost, I need to reactive it, please help."
255,card_linking,can I link a card of yours I already have?
256,card_linking,Can I put my found card back into the app on my phone?
257,card_linking,"My card arrived but I need to make it work in the app, how do I do that?"
258,card_linking,"I found the card that I thought I lost, and I would like to reactivate it."
259,card_linking,I found my card again. Can I put it back into the app?
260,card_linking,I need some help linking my new card.
261,card_linking,help me link my card
262,card_linking,How do I link my card in the app.
263,card_linking,How do I get my card into the app?
264,card_linking,I found my card! Can I link it back into the app?
265,card_linking,How do I reactivate my card?
266,card_linking,Where do I go to get my new card linked?
267,card_linking,"I thought I lost my card but I found it today, so I would like to reactivate it."
268,card_linking,How do I link the new card that I just got from you guys?
269,card_linking,How can I add a new card?
270,card_linking,Can you tell me how to get my card on the app?
271,card_linking,Is it possible to reactivate the card I thought I lost but found this morning in my jacket?
272,card_linking,How do I make my card appear on the app?
273,card_linking,How do I link the new card?
274,card_linking,Where in the app do I link a new card?
275,card_linking,How do I add my card to the app once I get it?
276,card_linking,Can I link your physical card
277,card_linking,How do I activate and link my new card?
278,card_linking,"I got a card, how do I get it in the app?"
279,card_linking,I received my new card.  Where is it in the app?
280,card_linking,"I found my card, how can I use it again?"
281,card_linking,"I just received a new card, where do I go to link it to my account?"
282,card_linking,"found card, how to put it back in app"
283,card_linking,How do I see my card in the app?
284,card_linking,"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?"
285,card_linking,I don't see my card anywhere in the app.
286,card_linking,"I received my card, how do I get it to work in the app?"
287,card_linking,What do I do if I already had a card with you guys?
288,card_linking,if i found a lost card can i put it back in app
289,card_linking,I have a card that was deactivated can I reactivate it?
290,card_linking,"My new card isn't in my app, how do I get it in there?"
291,card_linking,Help me access the card I already got so I can information from it.
292,exchange_rate,What is my money worth in other countries?
293,exchange_rate,Will my money be of equal value when I travel abroad?
294,exchange_rate,Do you know the rate of exchange?
295,exchange_rate,What foreign exchange rate will I get on weekdays and on the weekends?
296,exchange_rate,What is the exchange looking like?
297,exchange_rate,How is the exchange rate doing?
298,exchange_rate,I would like to know how exchange rates are calculated when transferring funds.
299,exchange_rate,I would like to know what exchange rates you use?
300,exchange_rate,"If I need to cash foreign transfers, how does that work?"
301,exchange_rate,Do you know what your exchange rates are?
302,exchange_rate,How do I know what exchange rate I will get?
303,exchange_rate,What are you exchange rates?
304,exchange_rate,Do you have the best exchange rate?
305,exchange_rate,Where can I find your exchange rates?
306,exchange_rate,Your exchange rates come from where?
307,exchange_rate,I need to know what your exchange rates are.
308,exchange_rate,What's the process for exchanges?
309,exchange_rate,What do you think of the exchange rate?
310,exchange_rate,How are exchange rates calculated at this bank?
311,exchange_rate,What do you use to figure out the exchange rate for the card?
312,exchange_rate,What's the foreign exchange rate I will receive?
313,exchange_rate,I need to know what foreign exchange rate I can get.
314,exchange_rate,What are the current exchange rates?
315,exchange_rate,What exchange rate will I receive?
316,exchange_rate,What is the basis of your exchange rates?
317,exchange_rate,How's the exchange rate?
318,exchange_rate,How do you determine your exchange rates?
319,exchange_rate,How do the foreign exchange rates work?
320,exchange_rate,Where are you getting your exchange rates from?
321,exchange_rate,How is the exchange rate calculated?
322,exchange_rate,I'm interested in what your exchange rates are based on.
323,exchange_rate,How do you decide what the exchange rates are?
324,exchange_rate,What is the current exchange rate?
325,exchange_rate,What is the formula for your exchange rate?
326,exchange_rate,What method do you use for the exchange rate?
327,exchange_rate,What are Interbanks current exchange rates?
328,exchange_rate,from where are coming your exchange rates?
329,exchange_rate,How do you calculate exchange rates?
330,exchange_rate,Why is your exchange rate different on different days?
331,exchange_rate,Where can I find the exchange rate for my transfer?
332,exchange_rate,Where can I get your exchange rates from?
333,exchange_rate,How do you find the exchange rate?
334,exchange_rate,How are exchange rates determined?
335,exchange_rate,What value can I get for my currency?
336,exchange_rate,Please explain your exchange rate policy.
337,exchange_rate,What are your exchange rates calculated from?
338,exchange_rate,What is an exchange rate?
339,exchange_rate,What is your opinion on the exchange rate?
340,exchange_rate,What are the exchange rates you assign?
341,exchange_rate,How do you determine exchange rates?
342,exchange_rate,How are your exchange rates calculated?
343,exchange_rate,How is an exchange rate calculated?
344,exchange_rate,"When exchanging, how much are the rates?"
345,exchange_rate,What is the exchange rate for EUR?
346,exchange_rate,How can I find your exchange rates?
347,exchange_rate,Could you please tell me your exchange rates?
348,exchange_rate,Is there an exchange rate?
349,exchange_rate,How does the exchange rate work?
350,exchange_rate,What is the present state of the exchange rate?
351,exchange_rate,How are foreign exchange rates determined?
352,exchange_rate,How's the exchange rate looking right now?
353,exchange_rate,Please explain the exchange rates.
354,exchange_rate,What is the foreign exchange rate you will apply?
355,exchange_rate,explain the interbank exchange rate
356,exchange_rate,What will my exchange rate be?
357,exchange_rate,how do you get exchange rates
358,exchange_rate,What exchange rates do you use?
359,exchange_rate,How will I know what the exchange rate is?
360,exchange_rate,What factors effect the exchange rate?
361,exchange_rate,Where does the exchange rate stand right now?
362,exchange_rate,I'd like to know what the foreign exchange rate will be.
363,exchange_rate,Does the exchange rate change?
364,exchange_rate,How do your exchange rates factor in?
365,exchange_rate,Will I know which exchange rate I will get?
366,exchange_rate,How do I know what the exchange rate will be when I make an exchange.
367,exchange_rate,Is the exchange rate the same on weekends as the weekdays?
368,exchange_rate,How do you do exchanges?
369,exchange_rate,On what do you base your exchange rates?
370,exchange_rate,How do you come up with your exchange rate
371,exchange_rate,What factors determine your exchange rate?
372,exchange_rate,How are the exchange rates determined?
373,exchange_rate,I would like to know what your exchange rates are.
374,exchange_rate,Is the exchange rate current?
375,exchange_rate,What are the exchange rates?
376,exchange_rate,How much are the rates of exchange?
377,exchange_rate,How do you decide what your exchange rates are?
378,exchange_rate,Your exchange rates are coming from where?
379,exchange_rate,Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?
380,exchange_rate,How are the exchange rates for transfers calculated?
381,exchange_rate,How do I know how much money I will have when I travel abroad?
382,exchange_rate,How do you do currency exchanges?
383,exchange_rate,Can you explain your exchange rates basis?
384,exchange_rate,How did you guys get your exchange rate?
385,exchange_rate,Can you tell me your exchange rates?
386,exchange_rate,Could you tell me what your exchange rates are?
387,exchange_rate,Does this app have the same exchange rate as third parties?
388,exchange_rate,what are your exchange rates at?
389,exchange_rate,How is the current exchange rate?
390,exchange_rate,What is the system for determining the exchange rate?
391,exchange_rate,I am travelling and I was wondering what your exchange rates are
392,exchange_rate,How can I tell what foreign exchange rate I will get?
393,exchange_rate,Tell me your opinion on the exchange rate.
394,exchange_rate,I'd like to know what you guys look at to decide an exchange rate
395,exchange_rate,How does the exchange rate work on this app?
396,exchange_rate,where do you find your exchange rates?
397,exchange_rate,I want to know your exchange rates.
398,exchange_rate,What exchange rate is it?
399,exchange_rate,What is the source of your exchange rates?
400,exchange_rate,i need to know about exchange rates
401,exchange_rate,Where do you get those exchange rates?
402,exchange_rate,How do you determine the exchange rate?
403,exchange_rate,What foreign exchange rate will I get?
404,card_payment_wrong_exchange_rate,"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?"
405,card_payment_wrong_exchange_rate,"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?"
406,card_payment_wrong_exchange_rate,I think the currency exchange that's been applied is wrong.
407,card_payment_wrong_exchange_rate,The exchange rate I was charged for a purchase was not right.
408,card_payment_wrong_exchange_rate,Can you please explain why the exchange rate for the item I bought is wrong?
409,card_payment_wrong_exchange_rate,I think something went wrong with my exchange between Russian Ruble and UK pounds. I was overcharged during the swap.
410,card_payment_wrong_exchange_rate,My payment has an incorrect exchange rate.
411,card_payment_wrong_exchange_rate,my exchange rate looks wrong for my last payment
412,card_payment_wrong_exchange_rate,The exchange rate you are using is bad.This can't be the official interbank exchange rate.
413,card_payment_wrong_exchange_rate,I was charged the wing amount for an item.
414,card_payment_wrong_exchange_rate,the exchange rate on my payment was wrong
415,card_payment_wrong_exchange_rate,Why is the exchange rate terrible?  That can't be close to the actual interbank rate.
416,card_payment_wrong_exchange_rate,An incorrect exchange rate was applied to an item I bought.
417,card_payment_wrong_exchange_rate,The exchange rate was incorrect for an item I bought.
418,card_payment_wrong_exchange_rate,The exchange rate on my payment doesn't look right
419,card_payment_wrong_exchange_rate,"I just saw the exchange rate you use, but it's so bad that I can't believe that it's the official interbank exchange rate! Is this truly the official interbank exchange rate?"
420,card_payment_wrong_exchange_rate,This exchange rate you use is awful! Please tell me this is a mistake and not the official interbank exchange rate!
421,card_payment_wrong_exchange_rate,After purchasing an item I noticed the exchange rate was incorrect.
422,card_payment_wrong_exchange_rate,The amount of exchange was not correct for the item i bought.
423,card_payment_wrong_exchange_rate,The exchange rate from my card payment isn't right.
424,card_payment_wrong_exchange_rate,My exchange rate isn't correct.
425,card_payment_wrong_exchange_rate,Why was the exchange rate so wrong when I bought something!
426,card_payment_wrong_exchange_rate,My exchange rate was wrong for an Item I bought!
427,card_payment_wrong_exchange_rate,I was using a foreign currecy to make a payment and the applied the wrong rate.
428,card_payment_wrong_exchange_rate,The exchange rate was incorrect for this item I bought.
429,card_payment_wrong_exchange_rate,I purchased something overseas and the incorrect exchange rate was applied.
430,card_payment_wrong_exchange_rate,The exchange rate is incorrect for my payment.
431,card_payment_wrong_exchange_rate,The item i bought exchanged rate was incorrect.
432,card_payment_wrong_exchange_rate,I'm on holiday and I noticed a different amount for exchange rate.  Can you explain?
433,card_payment_wrong_exchange_rate,I bought something in another country but the exchange rate is wrong
434,card_payment_wrong_exchange_rate,I bought an item and the exchange rate was wrong.
435,card_payment_wrong_exchange_rate,Exchange rate for my card payment is wrong
436,card_payment_wrong_exchange_rate,the exchange rate at which my card payment is at is wrong
437,card_payment_wrong_exchange_rate,There was a problem with the exchange rate on a purchase.
438,card_payment_wrong_exchange_rate,"I recently purchased something, and the exchange rate was wrong."
439,card_payment_wrong_exchange_rate,What if there is an error on the exchange rate?
440,card_payment_wrong_exchange_rate,Why is my exchange rate wrong?
441,card_payment_wrong_exchange_rate,Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.
442,card_payment_wrong_exchange_rate,I used foreign currency to buy something and I think the rate applied is incorrect.
443,card_payment_wrong_exchange_rate,This exchange rate on my purchase is wrong.
444,card_payment_wrong_exchange_rate,Why is your exchange rate so bad?
445,card_payment_wrong_exchange_rate,The exchange rate looks wrong on a holiday purchase
446,card_payment_wrong_exchange_rate,"I purchased something abroad, and the exchange rate that was applied was wrong."
447,card_payment_wrong_exchange_rate,I bought something and I take issue with the exchange rate applied.
448,card_payment_wrong_exchange_rate,I think there has been a mistake on my exchange rate for this purchase.
449,card_payment_wrong_exchange_rate,You did not give me the correct exchange rate for an item that I bought.
450,card_payment_wrong_exchange_rate,I checked on google and the exchange rate you are using is really bad. Can you update it?
451,card_payment_wrong_exchange_rate,"I seem to have been charged to much for my holiday purchases, the exchange rate is wrong."
452,card_payment_wrong_exchange_rate,"In regards to my card payment, the exchange rate is incorrect."
453,card_payment_wrong_exchange_rate,I bough an item and the exchange rate was incorrect.
454,card_payment_wrong_exchange_rate,Why did you charge me more for my purchase? It was a foreign currency and you didn't offer market rate
455,card_payment_wrong_exchange_rate,I question today's exchange rate for rubles into pounds. I was hoping for a better return.
